"Id","R","Nome","Squadra","Qt"
1,"A","INSIGNE R.","Benevento",6
2,"A","SKOV OLSEN","Bologna",6
3,"A","YOUNES","Napoli",6
4,"A","HARASLIN","Sassuolo",6
5,"A","STEPINSKI","Verona",6
6,"A","ASORO","Genoa",6
7,"A","COLLEY E.","Atalanta",8
8,"A","SAU","Benevento",8
9,"A","SANTANDER","Bologna",8
10,"A","DESPODOV","Cagliari",8
11,"A","MESSIAS","Crotone",8
12,"A","SANSONE","Bologna",9
13,"A","CARLES PEREZ","Roma",9
14,"A","GYASI","Spezia",9
15,"A","DESTRO","Genoa",9
16,"A","RIVIERE","Crotone",9
17,"A","PALACIO","Bologna",10
18,"A","PANDEV","Genoa",10
19,"A","LLORENTE","Napoli",10
20,"A","PINAMONTI","Inter",11
21,"A","LOZANO","Napoli",11
22,"A","CAPRARI","Benevento",11
23,"A","DEFREL","Sassuolo",11
24,"A","DI CARMINE","Verona",11
25,"A","CUTRONE","Fiorentina",12
26,"A","NESTOROVSKI","Udinese",12
27,"A","MURIQI","Lazio",12
28,"A","SIMY","Crotone",13
29,"A","PETAGNA","Napoli",13
30,"A","BONAZZOLI","Sampdoria",13
31,"A","ZAZA","Torino",13
32,"A","LAPADULA","Benevento",14
33,"A","RAFAEL LEAO","Milan",14
34,"A","GERVINHO","Parma",14
35,"A","IAGO FALQUE","Torino",14
36,"A","PAVOLETTI","Cagliari",15
37,"A","CORNELIUS","Parma",15
38,"A","INGLESE","Parma",15
39,"A","OKAKA","Udinese",15
40,"A","ORSOLINI","Bologna",16
41,"A","KOUAME'","Fiorentina",16
42,"A","PEDRO","Roma",16
43,"A","CAICEDO","Lazio",17
44,"A","GABBIADINI","Sampdoria",17
45,"A","LASAGNA","Udinese",17
46,"A","RIBERY","Fiorentina",18
47,"A","VLAHOVIC","Fiorentina",18
48,"A","SIMEONE","Cagliari",20
49,"A","QUAGLIARELLA","Sampdoria",20
50,"A","BOGA","Sassuolo",22
51,"A","BARROW","Bologna",23
52,"A","CORREA","Lazio",23
53,"A","INSIGNE","Napoli",23
54,"A","SANCHEZ","Inter",24
55,"A","MILIK","Napoli",24
56,"A","OSIMHEN","Napoli",24
57,"A","JOAO PEDRO","Cagliari",25
58,"A","MERTENS","Napoli",25
59,"A","ILICIC","Atalanta",27
60,"A","MURIEL","Atalanta",27
61,"A","REBIC","Milan",27
62,"A","BERARDI","Sassuolo",27
63,"A","BELOTTI","Torino",29
64,"A","MARTINEZ L.","Inter",30
65,"A","DYBALA","Juventus",31
66,"A","DZEKO","Roma",31
67,"A","CAPUTO","Sassuolo",34
68,"A","IBRAHIMOVIC","Milan",35
69,"A","ZAPATA D.","Atalanta",40
70,"A","LUKAKU","Inter",42
71,"A","RONALDO","Juventus",48
72,"A","IMMOBILE","Lazio",49
1,"C","PESSINA","Atalanta",7
2,"C","DOMINGUEZ","Bologna",7
3,"C","MARIN","Cagliari",7
4,"C","DUNCAN","Fiorentina",7
5,"C","SAPONARA","Fiorentina",7
6,"C","CANDREVA","Inter",7
7,"C","GAGLIARDINI","Inter",7
8,"C","VECINO","Inter",7
9,"C","DEMME","Napoli",7
10,"C","BASELLI","Torino",7
11,"C","ROG","Cagliari",8
12,"C","SOTTIL","Cagliari",8
13,"C","SCHONE","Genoa",8
14,"C","LUCAS LEIVA","Lazio",8
15,"C","LULIC","Lazio",8
16,"C","BENNACER","Milan",8
17,"C","CRISTANTE","Roma",8
18,"C","KLUIVERT","Roma",8
19,"C","EKDAL","Sampdoria",8
20,"C","THORSBY","Sampdoria",8
21,"C","VERRE","Sampdoria",8
22,"C","TRAORE' HJ.","Sassuolo",8
23,"C","BERENGUER","Torino",8
24,"C","MIGUEL VELOSO","Verona",8
25,"C","DE ROON","Atalanta",9
26,"C","VIOLA","Benevento",9
27,"C","BENALI","Crotone",9
28,"C","BENASSI","Verona",9
29,"C","ELMAS","Napoli",9
30,"C","KURTIC","Parma",9
31,"C","DIAWARA","Roma",9
32,"C","PEROTTI","Roma",9
33,"C","TONALI","Milan",9
34,"C","NANDEZ","Cagliari",10
35,"C","PEREIRO","Cagliari",10
36,"C","AMRABAT","Fiorentina",10
37,"C","BERNARDESCHI","Juventus",10
38,"C","RABIOT","Juventus",10
39,"C","KESSIE'","Milan",10
40,"C","FREULER","Atalanta",11
41,"C","LAZZARI","Lazio",11
42,"C","JANKTO","Sampdoria",11
43,"C","BARAK","Verona",11
44,"C","ZAJC","Genoa",11
45,"C","BARELLA","Inter",12
46,"C","SENSI","Inter",12
47,"C","DOUGLAS COSTA","Juventus",12
48,"C","RAMSEY","Juventus",12
49,"C","ZIELINSKI","Napoli",12
50,"C","LOCATELLI","Sassuolo",12
51,"C","LINETTY","Torino",12
52,"C","ZACCAGNI","Verona",12
53,"C","PERISIC","Inter",12
54,"C","SORIANO","Bologna",13
55,"C","BROZOVIC","Inter",13
56,"C","BENTANCUR","Juventus",13
57,"C","CASTILLEJO","Milan",13
58,"C","POLITANO","Napoli",13
59,"C","KUCKA","Parma",13
60,"C","LAZOVIC","Verona",13
61,"C","DIAZ B.","Milan",13
62,"C","PULGAR","Fiorentina",14
63,"C","RUIZ","Napoli",14
64,"C","DJURICIC","Sassuolo",14
