"Id","R","Nome","Squadra","Qt"
1,"A","INSIGNE R.","Benevento",6
2,"A","SKOV OLSEN","Bologna",6
3,"A","YOUNES","Napoli",6
4,"A","HARASLIN","Sassuolo",6
5,"A","STEPINSKI","Verona",6
6,"A","ASORO","Genoa",6
7,"A","COLLEY E.","Atalanta",8
8,"A","SAU","Benevento",8
9,"A","SANTANDER","Bologna",8
10,"A","DESPODOV","Cagliari",8
11,"A","MESSIAS","Crotone",8
12,"A","SANSONE","Bologna",9
13,"A","CARLES PEREZ","Roma",9
14,"A","GYASI","Spezia",9
15,"A","DESTRO","Genoa",9
16,"A","RIVIERE","Crotone",9
17,"A","PALACIO","Bologna",10
18,"A","PANDEV","Genoa",10
19,"A","LLORENTE","Napoli",10
20,"A","PINAMONTI","Inter",11
21,"A","LOZANO","Napoli",11
22,"A","CAPRARI","Benevento",11
23,"A","DEFREL","Sassuolo",11
24,"A","DI CARMINE","Verona",11
25,"A","CUTRONE","Fiorentina",12
26,"A","NESTOROVSKI","Udinese",12
27,"A","MURIQI","Lazio",12
28,"A","SIMY","Crotone",13
29,"A","PETAGNA","Napoli",13
30,"A","BONAZZOLI","Sampdoria",13
31,"A","ZAZA","Torino",13
32,"A","LAPADULA","Benevento",14
33,"A","RAFAEL LEAO","Milan",14
34,"A","GERVINHO","Parma",14
35,"A","IAGO FALQUE","Torino",14
36,"A","PAVOLETTI","Cagliari",15
37,"A","CORNELIUS","Parma",15
38,"A","INGLESE","Parma",15
39,"A","OKAKA","Udinese",15
40,"A","ORSOLINI","Bologna",16
41,"A","KOUAME'","Fiorentina",16
42,"A","PEDRO","Roma",16
43,"A","CAICEDO","Lazio",17
44,"A","GABBIADINI","Sampdoria",17
45,"A","LASAGNA","Udinese",17
46,"A","RIBERY","Fiorentina",18
47,"A","VLAHOVIC","Fiorentina",18
48,"A","SIMEONE","Cagliari",20
49,"A","QUAGLIARELLA","Sampdoria",20
50,"A","BOGA","Sassuolo",22
51,"A","BARROW","Bologna",23
52,"A","CORREA","Lazio",23
53,"A","INSIGNE","Napoli",23
54,"A","SANCHEZ","Inter",24
55,"A","MILIK","Napoli",24
56,"A","OSIMHEN","Napoli",24
57,"A","JOAO PEDRO","Cagliari",25
58,"A","MERTENS","Napoli",25
59,"A","ILICIC","Atalanta",27
60,"A","MURIEL","Atalanta",27
61,"A","REBIC","Milan",27
62,"A","BERARDI","Sassuolo",27
63,"A","BELOTTI","Torino",29
64,"A","MARTINEZ L.","Inter",30
65,"A","DYBALA","Juventus",31
66,"A","DZEKO","Roma",31
67,"A","CAPUTO","Sassuolo",34
68,"A","IBRAHIMOVIC","Milan",35
69,"A","ZAPATA D.","Atalanta",40
70,"A","LUKAKU","Inter",42
71,"A","RONALDO","Juventus",48
72,"A","IMMOBILE","Lazio",49
